Unnamed,Gender,ParentMaritalStatus,IsFristChild,TransportMean,TestPrep,WritingScore,ReadingScore,MathScore,LunchType,PracticeSport,NrSibling,ParentEducation,EthnicGroup
289,Male,Widowed,Yes,Car,Not Completed,59,57,50,Standard,Regularly,5,PhD,Group C
290,Female,Divorced,No,Car,Completed,41,41,38,Standard,Regularly,2,PhD,Group C
291,Female,Married,Yes,Car,Completed,89,86,94,Free/Reduced,Never,3,Intermediate,Group C
292,Male,Divorced,No,Bike,Completed,67,72,59,Standard,Regularly,1,High School,Group B
293,Male,Single,No,Walk,Not Completed,60,69,63,Free/Reduced,Never,0,High School,Group B
294,Female,Single,No,Van,Not Completed,80,71,77,Free/Reduced,Regularly,2,High School,Group C
295,Male,Single,Yes,Bike,Completed,55,64,52,Free/Reduced,Never,3,Intermediate,Group A
296,Male,Single,Yes,Bike,Not Completed,64,70,75,Free/Reduced,Never,5,Master,Group D
297,Female,Divorced,Yes,Car,Not Completed,95,94,96,Free/Reduced,Never,0,High School,Group C
298,Female,Married,No,Walk,Not Completed,52,59,58,Free/Reduced,Sometimes,5,Master,Group B
299,Male,Widowed,No,Bike,Completed,70,73,60,Free/Reduced,Sometimes,2,PhD,Group D
300,Female,Single,No,Bike,Not Completed,78,87,88,Free/Reduced,Never,2,Bachelor,Group B
301,Female,Divorced,Yes,Walk,Completed,51,46,40,Standard,Sometimes,1,Master,Group D
302,Female,Divorced,No,Bus,Not Completed,61,63,68,Standard,Never,4,Intermediate,Group A
303,Female,Married,No,Van,Not Completed,92,96,98,Free/Reduced,Regularly,1,Bachelor,Group B
304,Female,Single,No,Bike,Completed,74,66,72,Free/Reduced,Sometimes,5,Bachelor,Group C
305,Male,Single,Yes,Van,Completed,44,40,38,Free/Reduced,Regularly,1,Intermediate,Group D
306,Female,Widowed,Yes,Bus,Completed,68,65,69,Free/Reduced,Regularly,2,Intermediate,Group B
307,Male,Single,Yes,Walk,Not Completed,73,83,86,Standard,Regularly,3,Intermediate,Group C
308,Male,Divorced,No,Van,Not Completed,35,44,36,Free/Reduced,Never,1,Master,Group D
309,Female,Widowed,Yes,Bike,Completed,84,88,79,Standard,Regularly,5,High School,Group B
310,Male,Widowed,No,Van,Completed,73,63,57,Standard,Never,0,High School,Group A
311,Male,Married,No,Car,Completed,70,66,68,Standard,Never,5,High School,Group C
312,Female,Divorced,Yes,Car,Completed,75,82,87,Standard,Sometimes,0,High School,Group D
313,Male,Divorced,Yes,Walk,Not Completed,74,78,88,Free/Reduced,Regularly,0,Intermediate,Group D
314,Male,Single,Yes,Bus,Completed,89,84,84,Standard,Never,5,PhD,Group B
315,Male,Married,No,Bike,Not Completed,95,89,82,Free/Reduced,Sometimes,3,High School,Group A
316,Male,Divorced,No,Car,Completed,86,95,87,Standard,Regularly,0,Bachelor,Group B
317,Female,Divorced,Yes,Walk,Not Completed,66,62,71,Standard,Regularly,3,PhD,Group D
318,Female,Widowed,No,Bike,Completed,95,93,100,Standard,Never,5,High School,Group B
319,Male,Widowed,Yes,Van,Not Completed,74,66,73,Free/Reduced,Never,0,Bachelor,Group D
320,Female,Married,Yes,Walk,Not Completed,50,47,50,Standard,Never,5,Intermediate,Group B
321,Female,Married,No,Bike,Not Completed,79,73,86,Free/Reduced,Never,5,PhD,Group B
322,Male,Widowed,No,Bike,Completed,50,40,38,Free/Reduced,Sometimes,1,Master,Group C
323,Male,Widowed,No,Bike,Completed,69,72,75,Free/Reduced,Sometimes,4,PhD,Group A
324,Female,Widowed,Yes,Bus,Not Completed,68,68,59,Free/Reduced,Regularly,4,Intermediate,Group A
325,Male,Divorced,Yes,Car,Not Completed,99,90,100,Free/Reduced,Regularly,1,PhD,Group C
326,Female,Widowed,Yes,Bus,Completed,86,85,95,Standard,Sometimes,2,Master,Group C
327,Male,Single,No,Bus,Not Completed,37,42,42,Standard,Regularly,0,PhD,Group B
328,Female,Divorced,Yes,Car,Completed,88,92,100,Standard,Sometimes,3,Intermediate,Group B
329,Female,Married,No,Van,Not Completed,46,40,54,Standard,Never,4,Bachelor,Group B
330,Male,Divorced,No,Car,Completed,73,64,75,Free/Reduced,Sometimes,2,Master,Group D
331,Male,Divorced,No,Van,Completed,51,48,56,Standard,Regularly,4,Master,Group C
332,Male,Divorced,Yes,Walk,Not Completed,95,85,83,Free/Reduced,Never,5,Intermediate,Group C
333,Female,Married,Yes,Car,Completed,81,91,90,Standard,Never,0,Bachelor,Group C
334,Male,Married,No,Bike,Completed,56,58,49,Free/Reduced,Sometimes,0,Intermediate,Group B
335,Female,Divorced,Yes,Car,Not Completed,61,55,68,Free/Reduced,Never,2,Intermediate,Group A
336,Male,Widowed,Yes,Walk,Completed,85,87,80,Standard,Sometimes,3,Bachelor,Group A
337,Male,Widowed,Yes,Car,Not Completed,57,51,45,Free/Reduced,Regularly,1,Intermediate,Group C
338,Male,Single,Yes,Bike,Not Completed,65,61,73,Standard,Never,4,Master,Group D
339,Female,Single,Yes,Van,Completed,44,44,48,Standard,Sometimes,4,Intermediate,Group D
340,Male,Divorced,No,Walk,Not Completed,59,62,54,Standard,Never,4,PhD,Group A
341,Male,Single,Yes,Bus,Not Completed,83,82,84,Free/Reduced,Regularly,3,Master,Group C
342,Male,Divorced,No,Car,Completed,100,98,100,Free/Reduced,Never,1,Master,Group A
343,Male,Married,Yes,Bike,Completed,57,50,58,Free/Reduced,Regularly,1,Intermediate,Group D
344,Male,Widowed,No,Bus,Completed,81,87,72,Standard,Regularly,1,Master,Group A
345,Male,Widowed,No,Car,Not Completed,96,98,98,Free/Reduced,Regularly,3,High School,Group A
346,Male,Married,No,Van,Completed,96,88,81,Free/Reduced,Never,2,Intermediate,Group A
347,Female,Widowed,Yes,Car,Completed,92,88,90,Standard,Regularly,5,PhD,Group C
348,Male,Married,Yes,Bus,Completed,69,59,63,Standard,Never,4,PhD,Group A
349,Female,Widowed,Yes,Bike,Completed,54,53,47,Standard,Never,2,Bachelor,Group A
350,Male,Widowed,Yes,Walk,Completed,90,82,75,Free/Reduced,Regularly,1,Intermediate,Group D
351,Female,Single,Yes,Walk,Completed,56,62,68,Standard,Sometimes,3,PhD,Group C
352,Female,Divorced,No,Car,Completed,92,84,80,Standard,Sometimes,1,Bachelor,Group D
353,Female,Divorced,No,Car,Not Completed,94,93,85,Free/Reduced,Sometimes,3,Intermediate,Group A
354,Male,Divorced,Yes,Van,Completed,90,81,75,Free/Reduced,Never,5,High School,Group A
355,Male,Married,No,Van,Completed,100,94,100,Standard,Never,2,Intermediate,Group D
356,Male,Divorced,Yes,Car,Completed,65,63,59,Free/Reduced,Sometimes,4,High School,Group B
357,Male,Widowed,Yes,Bike,Completed,94,88,83,Free/Reduced,Sometimes,0,Bachelor,Group D
358,Male,Single,Yes,Bike,Not Completed,42,44,42,Free/Reduced,Sometimes,3,High School,Group A
359,Female,Divorced,No,Van,Completed,52,46,57,Free/Reduced,Never,3,Master,Group A
360,Female,Widowed,No,Walk,Not Completed,61,64,66,Free/Reduced,Never,0,Intermediate,Group B
361,Female,Divorced,Yes,Bike,Completed,47,50,38,Standard,Sometimes,4,High School,Group B
362,Female,Married,No,Car,Not Completed,91,91,100,Standard,Never,1,PhD,Group A
363,Male,Single,Yes,Van,Completed,36,42,45,Standard,Regularly,1,Master,Group B
364,Female,Married,No,Bus,Completed,86,78,90,Free/Reduced,Never,3,PhD,Group B
365,Male,Single,Yes,Van,Not Completed,96,93,100,Standard,Never,5,Master,Group D
366,Male,Single,Yes,Bus,Completed,56,54,55,Free/Reduced,Regularly,4,High School,Group B
367,Female,Married,Yes,Bus,Not Completed,100,97,100,Standard,Never,4,High School,Group D
368,Female,Widowed,Yes,Car,Not Completed,54,63,68,Free/Reduced,Never,5,Intermediate,Group A
369,Female,Single,Yes,Walk,Not Completed,46,48,50,Free/Reduced,Regularly,0,High School,Group A
370,Male,Divorced,No,Walk,Completed,74,64,63,Standard,Sometimes,5,Intermediate,Group C
371,Female,Divorced,No,Car,Completed,100,94,98,Free/Reduced,Never,4,PhD,Group B
372,Female,Divorced,No,Van,Not Completed,82,75,81,Free/Reduced,Never,1,High School,Group B
373,Female,Single,No,Walk,Completed,85,90,78,Standard,Sometimes,5,High School,Group A
374,Male,Married,Yes,Walk,Completed,79,70,75,Free/Reduced,Regularly,4,High School,Group D
375,Female,Divorced,Yes,Bike,Not Completed,89,79,88,Free/Reduced,Regularly,1,Intermediate,Group C
376,Male,Single,Yes,Bus,Not Completed,51,42,50,Standard,Never,0,Bachelor,Group A
377,Female,Widowed,No,Van,Completed,91,89,89,Standard,Never,5,High School,Group A
378,Female,Divorced,No,Walk,Completed,93,86,95,Standard,Sometimes,3,Intermediate,Group A
379,Female,Married,Yes,Van,Not Completed,54,51,56,Free/Reduced,Regularly,4,Master,Group C
380,Female,Single,No,Car,Not Completed,72,64,71,Standard,Sometimes,0,Master,Group A
381,Female,Single,No,Car,Not Completed,77,80,87,Standard,Never,2,Bachelor,Group C
382,Male,Single,No,Walk,Not Completed,65,65,55,Standard,Never,2,Bachelor,Group B
383,Female,Single,No,Bike,Completed,83,87,80,Standard,Regularly,4,Master,Group B
384,Male,Widowed,Yes,Van,Completed,39,47,52,Free/Reduced,Sometimes,4,Master,Group D
385,Female,Divorced,No,Bike,Completed,66,71,80,Standard,Never,3,PhD,Group A
386,Female,Married,No,Walk,Completed,60,65,64,Standard,Never,1,PhD,Group A
387,Female,Single,No,Bike,Not Completed,72,63,63,Free/Reduced,Never,2,Master,Group B
388,Female,Divorced,No,Car,Not Completed,63,67,66,Free/Reduced,Regularly,4,Bachelor,Group B
389,Male,Widowed,No,Bike,Completed,84,86,80,Standard,Sometimes,0,Bachelor,Group D
390,Female,Divorced,No,Walk,Not Completed,58,48,57,Standard,Sometimes,0,Bachelor,Group A
391,Male,Married,No,Walk,Not Completed,90,92,94,Free/Reduced,Sometimes,4,Intermediate,Group C
392,Female,Divorced,Yes,Van,Completed,44,41,33,Free/Reduced,Sometimes,2,Intermediate,Group D
393,Female,Divorced,No,Bike,Completed,88,96,92,Free/Reduced,Sometimes,5,Intermediate,Group D
394,Male,Single,No,Walk,Not Completed,40,45,40,Free/Reduced,Never,5,PhD,Group C
395,Female,Widowed,No,Bike,Completed,90,89,100,Standard,Regularly,5,Bachelor,Group C
396,Male,Married,Yes,Bus,Not Completed,48,53,50,Standard,Regularly,3,Intermediate,Group A
397,Male,Married,No,Walk,Completed,65,56,52,Standard,Never,2,PhD,Group B
398,Male,Married,No,Walk,Not Completed,68,73,58,Free/Reduced,Never,2,Intermediate,Group D
399,Male,Widowed,No,Van,Not Completed,100,100,93,Free/Reduced,Sometimes,4,Bachelor,Group A
400,Female,Divorced,Yes,Walk,Completed,60,59,60,Standard,Never,1,Master,Group C
401,Female,Widowed,No,Walk,Completed,64,74,79,Free/Reduced,Sometimes,4,Bachelor,Group A
402,Female,Widowed,No,Bike,Completed,55,52,58,Free/Reduced,Sometimes,1,Master,Group A
403,Female,Divorced,No,Van,Not Completed,77,80,82,Free/Reduced,Regularly,0,Bachelor,Group B
404,Female,Widowed,No,Van,Not Completed,57,47,54,Standard,Sometimes,0,Bachelor,Group A
405,Male,Divorced,Yes,Car,Completed,44,51,44,Standard,Regularly,1,High School,Group D
406,Male,Widowed,No,Car,Completed,64,61,59,Free/Reduced,Regularly,1,High School,Group C
407,Female,Single,Yes,Walk,Not Completed,51,44,50,Standard,Regularly,5,Bachelor,Group D
408,Female,Widowed,Yes,Van,Completed,46,55,44,Free/Reduced,Sometimes,5,Master,Group C
409,Male,Married,No,Car,Not Completed,71,80,86,Standard,Sometimes,0,Bachelor,Group A
410,Male,Married,Yes,Walk,Completed,83,80,79,Free/Reduced,Regularly,0,High School,Group D
411,Male,Single,No,Bus,Not Completed,55,63,54,Standard,Regularly,2,Bachelor,Group A
412,Male,Divorced,No,Bike,Completed,68,71,67,Free/Reduced,Sometimes,5,Bachelor,Group C
413,Male,Divorced,No,Bike,Completed,75,71,78,Free/Reduced,Sometimes,5,PhD,Group C
414,Male,Widowed,No,Walk,Not Completed,50,44,39,Free/Reduced,Regularly,5,Intermediate,Group D
415,Male,Divorced,Yes,Walk,Completed,86,96,98,Free/Reduced,Regularly,4,PhD,Group B
416,Female,Divorced,Yes,Bus,Completed,63,60,69,Standard,Regularly,1,High School,Group B
417,Male,Married,No,Car,Not Completed,67,71,60,Standard,Sometimes,1,Intermediate,Group A
418,Male,Widowed,Yes,Car,Completed,95,99,100,Free/Reduced,Never,5,PhD,Group C
419,Male,Married,Yes,Walk,Completed,100,92,92,Standard,Never,0,High School,Group B
420,Female,Single,Yes,Van,Not Completed,48,52,54,Standard,Never,4,Master,Group D
421,Female,Single,No,Van,Not Completed,89,96,85,Standard,Never,4,PhD,Group C
422,Female,Widowed,No,Walk,Completed,75,75,74,Standard,Sometimes,4,Master,Group C
423,Female,Married,No,Van,Completed,70,68,57,Standard,Sometimes,0,Master,Group B
424,Male,Divorced,Yes,Bus,Completed,94,94,82,Free/Reduced,Sometimes,1,Bachelor,Group C
425,Female,Single,No,Walk,Completed,100,96,93,Free/Reduced,Never,1,High School,Group C
426,Female,Married,No,Bus,Not Completed,56,51,63,Standard,Regularly,2,Master,Group D
427,Female,Single,Yes,Car,Completed,92,99,100,Free/Reduced,Never,0,Master,Group B
428,Female,Married,No,Car,Completed,69,72,62,Standard,Sometimes,2,PhD,Group B
429,Male,Married,No,Walk,Completed,53,61,60,Free/Reduced,Never,3,Bachelor,Group B
430,Female,Widowed,Yes,Van,Completed,71,75,76,Standard,Regularly,2,PhD,Group C
431,Male,Divorced,No,Bike,Not Completed,50,47,49,Free/Reduced,Never,5,High School,Group C
432,Male,Single,No,Bus,Completed,71,62,68,Standard,Never,2,Bachelor,Group A
433,Male,Single,No,Bus,Not Completed,78,87,77,Standard,Sometimes,3,PhD,Group A
434,Female,Single,No,Van,Not Completed,60,53,50,Standard,Never,5,High School,Group D
435,Male,Divorced,Yes,Van,Not Completed,51,56,42,Standard,Sometimes,5,High School,Group A
436,Female,Divorced,Yes,Bus,Not Completed,80,82,90,Free/Reduced,Regularly,3,Intermediate,Group A
437,Female,Married,Yes,Bike,Not Completed,80,71,80,Standard,Regularly,1,Intermediate,Group C
438,Female,Single,Yes,Walk,Not Completed,73,71,83,Free/Reduced,Never,2,Bachelor,Group C
439,Male,Married,No,Bike,Completed,78,80,79,Free/Reduced,Sometimes,5,Bachelor,Group A
440,Female,Single,No,Bike,Completed,82,73,85,Free/Reduced,Sometimes,4,Master,Group D
441,Male,Single,Yes,Walk,Completed,63,53,50,Free/Reduced,Regularly,5,Intermediate,Group B
442,Female,Married,Yes,Walk,Completed,51,44,52,Standard,Sometimes,3,PhD,Group C
443,Female,Divorced,Yes,Bike,Completed,97,87,100,Standard,Regularly,0,Intermediate,Group C
444,Male,Married,No,Bus,Not Completed,75,78,71,Standard,Never,4,PhD,Group C
445,Male,Widowed,Yes,Bike,Completed,96,94,98,Standard,Regularly,3,High School,Group C
446,Female,Single,Yes,Bike,Not Completed,50,54,64,Free/Reduced,Never,2,PhD,Group B
447,Female,Widowed,No,Car,Completed,56,65,67,Standard,Sometimes,3,High School,Group B
448,Female,Widowed,Yes,Bike,Not Completed,78,87,87,Free/Reduced,Sometimes,2,Master,Group D
449,Male,Married,Yes,Car,Not Completed,66,67,73,Standard,Never,4,High School,Group B
450,Male,Widowed,Yes,Bike,Not Completed,68,65,64,Standard,Sometimes,0,Master,Group C
451,Male,Married,No,Walk,Completed,78,85,71,Free/Reduced,Never,4,Intermediate,Group B
452,Female,Single,No,Van,Completed,77,75,65,Standard,Regularly,1,High School,Group D
453,Female,Single,Yes,Bike,Completed,63,59,58,Standard,Never,2,High School,Group D
454,Female,Married,No,Bike,Completed,99,94,100,Free/Reduced,Sometimes,3,PhD,Group A
455,Male,Single,Yes,Bike,Completed,62,55,54,Standard,Never,2,High School,Group B
456,Male,Divorced,No,Bus,Completed,90,82,93,Standard,Sometimes,1,Bachelor,Group C
457,Male,Married,Yes,Walk,Not Completed,77,69,72,Free/Reduced,Sometimes,0,PhD,Group A
458,Female,Divorced,No,Van,Not Completed,64,70,58,Standard,Never,1,Intermediate,Group A
459,Male,Married,No,Van,Not Completed,86,76,85,Free/Reduced,Never,2,Master,Group C
460,Male,Widowed,No,Bike,Completed,87,79,86,Free/Reduced,Regularly,0,High School,Group A
461,Female,Single,No,Car,Completed,73,80,87,Free/Reduced,Sometimes,4,Bachelor,Group A
462,Male,Married,No,Walk,Not Completed,83,84,79,Standard,Regularly,5,Master,Group C
463,Female,Married,Yes,Bike,Not Completed,94,86,97,Free/Reduced,Never,3,PhD,Group A
464,Male,Widowed,No,Car,Not Completed,64,70,75,Standard,Never,2,Intermediate,Group C
465,Male,Divorced,No,Bus,Completed,61,53,66,Free/Reduced,Regularly,2,PhD,Group B
466,Female,Divorced,No,Bus,Not Completed,60,51,46,Free/Reduced,Regularly,3,Bachelor,Group C
467,Female,Divorced,Yes,Bus,Not Completed,92,93,86,Standard,Regularly,0,PhD,Group A
468,Female,Single,No,Car,Not Completed,100,97,90,Free/Reduced,Regularly,0,Intermediate,Group B
469,Male,Widowed,Yes,Bus,Not Completed,77,86,83,Standard,Never,4,High School,Group C
470,Female,Divorced,Yes,Van,Not Completed,87,96,82,Standard,Sometimes,1,Bachelor,Group C
471,Female,Widowed,Yes,Walk,Completed,74,74,86,Standard,Sometimes,0,High School,Group A
472,Male,Divorced,No,Bike,Not Completed,75,74,79,Standard,Regularly,0,Master,Group C
473,Female,Widowed,Yes,Bus,Not Completed,37,43,30,Standard,Regularly,3,PhD,Group B
474,Female,Divorced,Yes,Van,Completed,80,79,76,Free/Reduced,Never,1,High School,Group D
475,Male,Widowed,No,Bike,Completed,68,69,77,Standard,Never,2,Master,Group D
476,Male,Widowed,No,Bus,Completed,84,84,82,Free/Reduced,Regularly,2,PhD,Group D
477,Male,Single,Yes,Car,Completed,59,58,65,Free/Reduced,Never,5,High School,Group C
478,Female,Single,Yes,Van,Completed,73,65,70,Free/Reduced,Sometimes,0,Master,Group B
479,Female,Divorced,Yes,Bike,Completed,93,90,97,Free/Reduced,Regularly,4,Intermediate,Group D
480,Female,Single,No,Car,Completed,68,75,73,Standard,Never,4,PhD,Group C
481,Female,Single,Yes,Van,Completed,72,81,66,Standard,Never,1,PhD,Group C
482,Female,Single,Yes,Walk,Not Completed,87,79,85,Free/Reduced,Sometimes,5,Master,Group A
483,Male,Single,No,Bus,Not Completed,85,79,82,Standard,Regularly,5,Intermediate,Group C
484,Male,Single,No,Van,Not Completed,94,95,82,Free/Reduced,Never,3,PhD,Group D
485,Female,Single,No,Bike,Completed,70,74,81,Free/Reduced,Sometimes,3,Bachelor,Group C
486,Male,Married,Yes,Car,Not Completed,38,48,33,Standard,Regularly,1,PhD,Group D
487,Female,Widowed,No,Car,Not Completed,74,79,78,Standard,Regularly,3,Intermediate,Group A
488,Female,Divorced,No,Van,Not Completed,91,94,100,Standard,Regularly,4,PhD,Group C
489,Male,Married,Yes,Van,Not Completed,82,77,89,Free/Reduced,Never,0,Intermediate,Group A
490,Male,Married,No,Van,Completed,80,70,86,Free/Reduced,Never,0,PhD,Group D
491,Female,Divorced,No,Walk,Completed,76,76,77,Standard,Never,4,Master,Group C
492,Male,Single,Yes,Walk,Completed,85,80,88,Free/Reduced,Sometimes,0,Bachelor,Group A
493,Female,Divorced,No,Walk,Completed,50,56,60,Standard,Never,1,Intermediate,Group B
494,Female,Single,No,Bike,Completed,58,63,56,Free/Reduced,Regularly,1,Intermediate,Group B
495,Female,Widowed,Yes,Car,Completed,91,88,100,Standard,Never,5,Master,Group A
496,Female,Single,No,Car,Not Completed,81,88,73,Free/Reduced,Sometimes,5,Intermediate,Group B
497,Female,Divorced,Yes,Van,Not Completed,85,83,87,Standard,Sometimes,3,PhD,Group C
498,Male,Divorced,No,Van,Not Completed,53,46,57,Free/Reduced,Sometimes,2,High School,Group C
499,Female,Single,No,Bike,Not Completed,66,69,78,Standard,Never,0,High School,Group A
500,Female,Widowed,No,Bike,Not Completed,52,46,40,Free/Reduced,Regularly,0,High School,Group A
